"year","GSawlog_uB","GPulpFuel_uB","GResidues"
2021,26435000,40500000,7600000
2026,29660000,41260000,7600000
2031,32672000,42120000,8103000
2036,34832000,43360000,10618000
2041,36653000,44610000,12783000
2046,37118000,45890000,13548000
2051,37511000,47130000,14266000
2056,37616000,48180000,14796000
2061,37702000,49190000,15277000
2066,37712000,50060000,15562000
2071,37722000,50800000,15822999
2076,37732000,51030000,15988000
2081,37744000,51210000,16147000
2086,37764000,51220000,16282000
2091,37784000,51230000,16413000
2096,37804000,51200000,16528000
2101,37820000,51180000,16620000
2106,37820000,51180000,16620000
2111,37820000,51180000,16620000
2116,37820000,51180000,16620000
