"year","GSawlog_uB","GPulpFuel_uB","GResidues"
2021,26421000,40500000,7600000
2026,29576000,41260000,7600000
2031,32567999,42120000,7978000
2036,34908000,43360000,9868000
2041,36865000,44610000,11599000
2046,37290000,45860000,12694000
2051,37636000,47080000,13701000
2056,37666000,48120000,14356000
2061,37692000,49120000,14948000
2066,37702000,49990000,15288000
2071,37710000,50740000,15599000
2076,37710000,51030000,15794000
2081,37713000,51270000,15978000
2086,37728000,51260000,16117999
2091,37745000,51250000,16253000
2096,37770000,51220000,16368000
2101,37790000,51200000,16460000
2106,37790000,51200000,16460000
2111,37790000,51200000,16460000
2116,37790000,51200000,16460000
