,year,GSawlog,GPulp,GFuel,GResidues,GPulpFuel,Globiom_demands
2,2023,7.307373951,5.087877816,1.918407286,1.040878484,7.01,15.35825244
3,2028,7.882604898,4.927902382,1.928164225,1.275675958,6.86,16.01828086
4,2033,8.337026645,4.807679337,1.932067,1.980378936,6.74,17.05740558
5,2038,8.710908925,4.713957883,1.932067,2.998352249,6.65,18.35926117
6,2043,9.132602712,4.883813296,1.932067,3.823773252,6.82,19.77637596
7,2048,9.586170837,5.229386621,1.932067,4.520826049,7.16,21.26699689
8,2053,9.988014949,5.536212088,1.932067,4.850831436,7.47,22.30884638
9,2058,10.35537639,5.81720565,1.932067,4.936138549,7.75,23.04151493
10,2063,10.67541078,6.30135748,1.932067,5.110846465,8.23,24.01625724
11,2068,10.9638938,6.920948154,1.932067,5.345154917,8.85,25.15904872
12,2073,11.12398575,7.348953151,1.932067,5.535648853,9.28,25.9396346
13,2078,11.19848364,7.649234363,1.932067,5.69693311,9.58,26.47541675
14,2083,11.2816989,7.893880868,1.932067,5.809752745,9.83,26.92145164
15,2088,11.37072572,8.101437567,1.932067,5.890262632,10.03,27.29098835
16,2093,11.4250546,8.191651144,1.932067,5.940594269,10.12,27.48564887
17,2098,11.45625151,8.203635973,1.932067,5.970807073,10.14,27.56705859
