year,GSawlog_uB,GPulpFuel_uB,GResidues
2015,1765500,1923000,456499.95
2020,1843500,2082500,463000
2025,2088750,2075000,456499.95
2030,2334000,2068000,450000
2035,2427250,2119000,619250
2040,2520500,2170500,788500
2045,2563000,2214000,840500
2050,2605500,2258000,892500
2055,2611000,2294500,924750
2060,2616500,2331000,957000
2065,2618000,2350000,981250
2070,2619500,2369000,1005500
2075,2620250,2383000,1016250
2080,2621000,2397500,1027000
2085,2621500,2403000,1034000
2090,2622000,2408500,1041000
2095,2622500,2399000,1046000
2100,2623000,2389500,1051000
2105,2623000,2389500,1051000
2110,2623000,2389500,1051000
