,year,GSawlog,GPulp,Gsawpulp,GFuel,GResidues,GPulpFuel,Globiom_demands
2,2023,7.212155382,5.080899701,12.293055083,1.918407286,0.9,7,14.211462369
3,2028,7.628688714,4.909294075,12.537982789,1.928164225,0.9,6.84,14.466147014
4,2033,8.013292452,4.766846151,12.780138603,1.932067,0.9,6.7,14.712205603
5,2038,8.376609794,4.643836695,13.020446489,1.932067,0.9,6.58,14.952513489
6,2043,8.741598062,4.542263635,13.283861697,1.932067,0.9,6.47,15.215928697
7,2048,9.107700281,4.454981504,13.562681785,1.932067,0.9,6.39,15.494748785
8,2053,9.500090988,4.389674214,13.889765202,1.932067,0.9,6.32,15.821832202
9,2058,9.910007354,4.339016818,14.249024172,1.932067,0.9,6.27,16.181091172
10,2063,10.21604292,4.312340473,14.528383393,1.932067,0.9,6.24,16.460450393
11,2068,10.45282462,4.301651494,14.754476114,1.932067,0.9,6.23,16.686543114
12,2073,10.56656303,4.3024628,14.86902583,1.932067,0.9,6.23,16.80109283
13,2078,10.59827257,4.310940961,14.909213531,1.932067,0.9,6.24,16.841280531
14,2083,10.62664415,4.323933465,14.950577615,1.932067,1.087015024,6.26,16.882644615
15,2088,10.65279041,4.33993553,14.99272594,1.932067,1.398706731,6.27,16.92479294
16,2093,10.67535188,4.357142051,15.032493931,1.932067,1.730736028,6.29,16.964560931
17,2098,10.69552348,4.375151543,15.070675023,1.932067,2.076323719,6.31,17.002742023
